file                              tier  words       sents  mean   longest  dashes  banned
_pages/home.html                  B     174/450     14     10.9   21       0       0
_pages/work.md                    B     276/420     13     16.5   23       0       0
_pages/projects.html              B     34/440      3      11.0   13       0       0
_pages/apps.html                  A     30/200      2      12.0   18       0       0
_pages/research.html              B     120/700     6      15.3   24       0       0
_pages/contact.md                 B     38/60       3      10.7   12       0       0
_pages/404.md                     A     28/30       3      9.3    13       0       0
_pages/sitemap.md                 A     74/120      2      9.0    11       0       0
_pages/terms.md                   A     129/150     15     8.5    15       0       0
_pages/threatened_species.md      B     101/150     7      14.4   21       0       0

prose_check: clean (10 files and the stats include)
